"Id";"Type";"Value";"Description";"ExtraData"
1;0;"0";"type 0 is used to describle other types";""
2;0;"1";"StockGroup";""
3;0;"2";"Days of the changes";""
4;1;"ARKK";"ARKK ETF";""
5;1;"ARKF";"ARKF ETF";""
6;1;"ARKW";"ARKW ETF";""
7;1;"ARKQ";"ARKQ ETF";""
8;1;"ARKX";"ARKX ETF";""
9;1;"ARKG";"ARKG ETF";""
10;1;"CMY1";"Chung Yuan 1 stk list";""
11;1;"DJIA";"Dow Jones 30 Industrial Average";""
12;1;"SP100";"SP 100";""
13;2;"2";"2 day changes";""
14;2;"5";"5-day changes";""
15;2;"10";"10-day changes";""
